00010	What can I practise here?	Complete the sentences. Choose all possible correct answers.	I {{c1::don't know}} how she stays so fit.	'm not knowing;wasn't knowing;don't know;doesn't know
15270	Unit 61: <i>One</i> and <i>ones</i>	Complete the sentences. Put a pronoun from the box in the space. Use <i>one</i> or <i>ones</i> if the sentence is incorrect without the pronoun; use <i>(one)</i> or <i>(ones)</i> if the sentence is correct without the pronoun.	I like your blue dress, but I'm not sure about the green {{c1::(one)}} though.	one;ones;(one);(ones)
15280	Unit 61: <i>One</i> and <i>ones</i>	Complete the sentences. Put a pronoun from the box in the space. Use <i>one</i> or <i>ones</i> if the sentence is incorrect without the pronoun; use <i>(one)</i> or <i>(ones)</i> if the sentence is correct without the pronoun.	The point you've raised is a very important {{c1::one}}.	one;ones;(one);(ones)
15290	Unit 61: <i>One</i> and <i>ones</i>	Complete the sentences. Put a pronoun from the box in the space. Use <i>one</i> or <i>ones</i> if the sentence is incorrect without the pronoun; use <i>(one)</i> or <i>(ones)</i> if the sentence is correct without the pronoun.	I'm looking for a new scanner, but there are hundreds of different kinds advertised online and I don't know <br />which {{c1::(one)}} to buy.	one;ones;(one);(ones)
15300	Unit 62: <i>So</i> and <i>not</i> as substitutes for clauses, etc.	Complete the sentences with the correct endings. If both endings are correct, choose both.	<b>A</b>: Are you sure the bridge is safe to cross?<br /><b>B</b>: I'm certain {{c1::it is}} .	so;it is
15310	Unit 62: <i>So</i> and <i>not</i> as substitutes for clauses, etc.	Complete the sentences with the correct endings. If both endings are correct, choose both.	<b>A</b>: Do you think Maria will have told her parents?<br /><b>B</b>: I suspect {{c1::so / that she will}} .	so;that she will
15320	Unit 62: <i>So</i> and <i>not</i> as substitutes for clauses, etc.	Complete the sentences with the correct endings. If both endings are correct, choose both.	<b>A</b>: The new play on in town is supposed to be really good, isn’t it?<br /><b>B</b>: I believe {{c1::so / it is}}.	so;it is
15330	Unit 62: <i>So</i> and <i>not</i> as substitutes for clauses, etc.	Complete the sentences with the correct endings. If both endings are correct, choose both.	<b>A</b>: You thought Steve was wrong, didn't you?<br /><b>B</b>: Yes, I did, and I told him {{c1::so / that he was}}.	so;that he was
15340	Unit 62: <i>So</i> and <i>not</i> as substitutes for clauses, etc.	Complete the sentences with the correct endings. If both endings are correct, choose both.	<b>A</b>: I hope the train will be on time today.<br /><b>B</b>: I'm sure {{c1::it will}}.	so;it will
15350	Unit 62: <i>So</i> and <i>not</i> as substitutes for clauses, etc.	Complete the sentences with the correct endings. If both endings are correct, choose both.	<b>A</b>: It would be hard to find a new job if you left the company now, wouldn't it?<br /><b>B</b>: Yes, I admit {{c1::it would be}}.	so;it would be
15360	Unit 62: <i>So</i> and <i>not</i> as substitutes for clauses, etc.	Complete the sentences with the correct endings. If both endings are correct, choose both.	<b>A</b>: I think there's too much confusing information on your website.<br /><b>B</b>: Yes, I accept {{c1::that there is}}.	so;that there is
15370	Unit 62: <i>So</i> and <i>not</i> as substitutes for clauses, etc.	Complete the sentences with the correct endings. If both endings are correct, choose both.	<b>A</b>: We have to email in our assessments tomorrow, don't we?<br /><b>B</b>: I presume {{c1::so / that we do}}.	so;that we do
15380	Unit 62: <i>So</i> and <i>not</i> as substitutes for clauses, etc.	Complete the sentences with the correct endings. If both endings are correct, choose both.	<b>A</b>: These proposals are completely unrealistic in my opinion.<br /><b>B</b>: Yes, I agree {{c1::that they are}}.	so;that they are
15390	Unit 62: <i>So</i> and <i>not</i> as substitutes for clauses, etc.	Complete the sentences with the correct endings. If both endings are correct, choose both.	<b>A</b>: Will you be going to the concert on Saturday?<br /><b>B</b>: I expect {{c1::so / I will}}.	so;I will
15400	Unit 62: <i>So</i> and <i>not</i> as substitutes for clauses, etc.	Complete the sentences with the correct endings. If both endings are correct, choose both.	<b>A</b>: I suppose they'll be building new houses in these fields before long.<br /><b>B</b>: Yes, I imagine {{c1::so / they will}}.	so;they will
15410	Unit 62: <i>So</i> and <i>not</i> as substitutes for clauses, etc.	Complete the sentences with the correct endings. If both endings are correct, choose both.	<b>A</b>: Emma's offered to let me stay in her flat.<br /><b>B</b>: I knew {{c1::she would}}.	so;she would
15420	Unit 62: <i>So</i> and <i>not</i> as substitutes for clauses, etc.	Complete the sentences. Choose the more natural option.	<b>A</b>: Can we eat these berries?<br /><b>B</b>: My dad {{c1::said not to}}, as they might be poisonous.	said not to;didn't say so
15430	Unit 62: <i>So</i> and <i>not</i> as substitutes for clauses, etc.	Complete the sentences. Choose the more natural option.	<b>A</b>: You must have made a mistake.<br /><b>B</b>: I {{c1::don't believe so}}.	don't believe so;believe not
15440	Unit 62: <i>So</i> and <i>not</i> as substitutes for clauses, etc.	Complete the sentences. Choose the more natural option.	‘Are you going to live with us forever, Aunt Elena?’ asked Aisha. ‘I {{c1::don’t expect so}} dear,’ replied Elena.	don’t expect so;expect not
15450	Unit 62: <i>So</i> and <i>not</i> as substitutes for clauses, etc.	Complete the sentences. Choose the more natural option.	<b>A</b>: Is there any more work to be finished today after this?<br /><b>B</b>: I certainly {{c1::hope not}} .	hope not;don’t hope so
15460	Unit 62: <i>So</i> and <i>not</i> as substitutes for clauses, etc.	Complete the sentences. Choose the more natural option.	<b>A</b>: Do you think he heard what I said?<br /><b>B</b>: It {{c1::doesn’t appear so}}.	appears not;doesn’t appear so
15470	Unit 62: <i>So</i> and <i>not</i> as substitutes for clauses, etc.	Complete the sentences. Choose the more natural option.	<b>A</b>: Our Internet server is down, so I don’t think we can play online tonight.<br /><b>B</b>: I {{c1::guess not}}.	guess not;don’t guess so
15480	Unit 62: <i>So</i> and <i>not</i> as substitutes for clauses, etc.	Complete the sentences. Choose the more natural option.	<b>A</b>: You know how disorganised Helen is. Surely you don’t expect her to remember the meeting? <br /><br /><b>B</b>: No, I {{c1::don’t suppose so}}.	don’t suppose so;suppose not
15490	Unit 62: <i>So</i> and <i>not</i> as substitutes for clauses, etc.	Complete the sentences. Choose the more natural option.	<b>A</b>: Is there nothing we can do to help her?<br /><b>B</b>: I’m {{c1::afraid not}}.	afraid not;not afraid so
15500	Unit 62: <i>So</i> and <i>not</i> as substitutes for clauses, etc.	Complete the sentences. Choose the more natural option.	<b>A</b>: I wonder if Vasiliki downloaded that film last night. <br /><br /><b>B</b>: I {{c1::wouldn’t imagine so}}. Her broadband isn’t good enough.	wouldn’t imagine so;would imagine not
15510	Unit 62: <i>So</i> and <i>not</i> as substitutes for clauses, etc.	Complete the sentences. Choose the more natural option.	I hoped Richard would have finished work by now, but it {{c1::seems not}}.	doesn’t seem so;seems not
15520	Unit 62: <i>So</i> and <i>not</i> as substitutes for clauses, etc.	Complete the sentences. Choose the more natural option.	<b>A</b>: Is there any danger of the river flooding?<br /><b>B</b>: I {{c1::shouldn’t think so}}.	shouldn’t think so;should think not
15530	Unit 62: <i>So</i> and <i>not</i> as substitutes for clauses, etc.	Complete the sentences. Choose the more natural option.	<b>A</b>: Do you think the government will increase pensions this year?<br /><b>B</b>: I {{c1::suspect not}}.	suspect not;don’t suspect so
15540	Unit 63: <i>Do so</i>; <i>such</i>	Complete the sentences with <i>and</i> or <i>but</i> and information from one of the sentences in the list. Use a form of <i>do</i> followed by <i>so</i> instead of repeating the verb + object / complement.	We planned to cross the river below the waterfall, {{c1::but it was not safe to do so}}.	They were given permission to hold a music festival in the park.;He showed no sign of getting a job.;As the water freezes, it expands.;I lent him the money very reluctantly.;The website teaches young children about ancient history in an unusual and entertaining way.;Few villagers have left the area around the volcano.;He had walked at least five miles a day since his heart operation.;It was not safe to cross the river below the waterfall.;She won the race easily.;The girls sat down immediately.;In using the new software she came to know its advantages well.;They can no longer afford to go on a Caribbean cruise.
15550	Unit 63: <i>Do so</i>; <i>such</i>	Complete the sentences with <i>and</i> or <i>but</i> and information from one of the sentences in the list. Use a form of <i>do</i> followed by <i>so</i> instead of repeating the verb + object / complement.	As the temperature falls below zero the water freezes, {{c1::and as it does so it expands}}.	They were given permission to hold a music festival in the park.;He showed no sign of getting a job.;As the water freezes, it expands.;I lent him the money very reluctantly.;The website teaches young children about ancient history in an unusual and entertaining way.;Few villagers have left the area around the volcano.;He had walked at least five miles a day since his heart operation.;It was not safe to cross the river below the waterfall.;She won the race easily.;The girls sat down immediately.;In using the new software she came to know its advantages well.;They can no longer afford to go on a Caribbean cruise.
15560	Unit 63: <i>Do so</i>; <i>such</i>	Complete the sentences with <i>and</i> or <i>but</i> and information from one of the sentences in the list. Use a form of <i>do</i> followed by <i>so</i> instead of repeating the verb + object / complement.	I agreed to lend him the money, {{c1::but I did so very reluctantly / but did so very reluctantly}}.	They were given permission to hold a music festival in the park.;He showed no sign of getting a job.;As the water freezes, it expands.;I lent him the money very reluctantly.;The website teaches young children about ancient history in an unusual and entertaining way.;Few villagers have left the area around the volcano.;He had walked at least five miles a day since his heart operation.;It was not safe to cross the river below the waterfall.;She won the race easily.;The girls sat down immediately.;In using the new software she came to know its advantages well.;They can no longer afford to go on a Caribbean cruise.
